# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 539
stdadj;canonadj;canontag;frsynadj
fixe;fixe;ligature;fixe
haut;maxillaire;endoalvéolie;haut
haut;maxillaire;latérodéviation;haut
haut;maxillaire;malposition;haut
haut;maxillaire;proalvéolie;haut
haut;maxillaire;rétroalvéolie;haut
jour;diurne;bruxisme;jour
soir;diurne;bruxisme;soir
bas;mandibulaire;endoalvéolie;bas
bas;mandibulaire;latérodéviation;bas
bas;mandibulaire;malposition;bas
bas;mandibulaire;proalvéolie;bas
bas;mandibulaire;rétroalvéolie;bas
